MCT_YM,UE_CNT_GRP,UE_AMT_GRP,UE_AMT_PER_TRSN_GRP,MON_UE_CNT_RAT,TUE_UE_CNT_RAT,WED_UE_CNT_RAT,THU_UE_CNT_RAT,FRI_UE_CNT_RAT,SAT_UE_CNT_RAT,SUN_UE_CNT_RAT,HR_5_11_UE_CNT_RAT,HR_12_13_UE_CNT_RAT,HR_14_17_UE_CNT_RAT,HR_18_22_UE_CNT_RAT,HR_23_4_UE_CNT_RAT,LOCAL_UE_CNT_RAT,RC_M12_MAL_CUS_CNT_RAT,RC_M12_FME_CUS_CNT_RAT,RC_M12_AGE_UND_20_CUS_CNT_RAT,RC_M12_AGE_30_CUS_CNT_RAT,RC_M12_AGE_40_CUS_CNT_RAT,RC_M12_AGE_50_CUS_CNT_RAT,OP_YMD,MCT_TYPE,ADDR,MCT_NM,예상영업시간,휴업일
(유)아웃백스테이크하우스 제주아일랜드점_20090217,5.833333333333333,6.0,5.0,0.1196889972833801,0.1160094022836324,0.1140947888656124,0.0992940932064683,0.1394727669891366,0.2091865241100285,0.2022534272617412,0.0098369685559008,0.2431456076241884,0.2781359734107712,0.4683106741534317,0.0005707762557077,0.789624716045946,0.4812499999999999,0.51875,0.1485833333333333,0.33975,0.3567499999999999,0.11525,20090217,패밀리 레스토랑,제주 제주시 오라이동 3173번지 1층,아웃백스테이크하우스 제주아일랜드점,12~23,없음
(주) 베이힐_20140110,1.5,5.833333333333333,6.0,0.1825249812457339,0.1022876827527927,0.148415608568741,0.0810387581304275,0.1299452308313207,0.1337491239921748,0.222038614478809,0.7340101257036414,0.0108620157431702,0.1892630045638335,0.0592266368248216,0.0066382171645329,0.0290952516677617,0.5508333333333333,0.44925,0.1070833333333333,0.34375,0.3208333333333333,0.158,20140110,단품요리 전문,제주 서귀포시 하예동 1888번지,베이힐,5~23,없음
(주) 신세계푸드 제주신화월드  고래라면_20171227,5.083333333333333,4.166666666666667,2.0,0.1377815730162934,0.131685263440426,0.121358461031854,0.1305196908124052,0.1511535876098254,0.1622069188416733,0.1652945052475223,0.0090012841449538,0.2753261700561373,0.2393553143064785,0.4754625306377293,0.0008547008547008,0.0611526626600904,0.5593333333333333,0.4406666666666666,0.0537499999999999,0.3339166666666666,0.4944166666666666,0.0854166666666666,20171227,구내식당/푸드코트,제주 서귀포시 안덕면 서광리 2489번지 1층,신세계푸드 제주신화월드  고래라면,12~23,없음
(주) 신세계푸드 제주신화월드  윤경양식당_20171228,5.75,5.416666666666667,2.0,0.1335768255007841,0.1267701474650397,0.1139964817566153,0.1336577519963762,0.1390163795192107,0.1654377869846394,0.187544626777334,0.0070640646674957,0.240487868300375,0.2611316674505706,0.4906108442476665,0.0007055553338919,0.1271183582630103,0.5365833333333333,0.4634166666666666,0.0465833333333333,0.3740833333333333,0.4810833333333333,0.0686666666666666,20171228,구내식당/푸드코트,제주 서귀포시 안덕면 서광리 2489번지 1층,신세계푸드 제주신화월드  윤경양식당,12~23,없음
(주) 신세계푸드 제주신화월드  티플레이스_20171227,5.416666666666667,6.0,4.0,0.1289968314753904,0.1187916956779388,0.1228676127403777,0.1295843452033804,0.1386682090036871,0.176090485151121,0.185000820748104,0.0054215784451699,0.1992482495108261,0.1932848120226772,0.6013143658692798,0.0007309941520467,0.135311222218984,0.5244166666666666,0.4755833333333333,0.0588333333333333,0.302,0.4737499999999999,0.1193333333333333,20171227,구내식당/푸드코트,제주 서귀포시 안덕면 서광리 2489번지 1층,신세계푸드 제주신화월드  티플레이스,12~23,없음
(주) 신세계푸드 제주신화월드  화니제주신_20180108,5.75,5.583333333333333,2.0,0.1376475521681488,0.1250014828151284,0.1204945397991651,0.1314082221887564,0.1341986171801218,0.1687842758241444,0.1824653100245346,0.004720831152034,0.2508669917905144,0.2442397043953809,0.5001724726620703,0.0,0.1246655952835974,0.5355833333333334,0.4644166666666666,0.0407499999999999,0.3273333333333333,0.4974166666666667,0.0915833333333333,20180108,구내식당/푸드코트,제주 서귀포시 안덕면 서광리 2489번지 1층,신세계푸드 제주신화월드  화니제주신,12~23,없음
(주) 아워홈 제주대학교병원제주점_20180306,5.083333333333333,2.333333333333333,1.0,0.1945803009143254,0.188884278419166,0.1812648075050189,0.1687366240266985,0.1564842518264911,0.0517294412649137,0.0583202960433858,0.2572973649870468,0.48508999248084,0.0428152021273174,0.2147974404047956,0.0,0.7535037791540863,0.5384166666666667,0.4615833333333333,0.2448333333333333,0.2137499999999999,0.15425,0.2698333333333333,20180306,구내식당/푸드코트,제주 제주시 아라일동 1753-3번지 제주대학교병원 지하1층,아워홈 제주대학교병원제주점,5~23,없음
(주) 아워홈 제주지방합동청사점_20150210,5.916666666666667,1.9166666666666667,1.0,0.1961865568108635,0.2004124611356253,0.2078396131644631,0.2116301633215546,0.1839312055674931,0.0,0.0,0.4125617246113857,0.2816656880024349,0.3041800892869185,0.0015924980992607,0.0,0.7626318141876706,0.59725,0.4027499999999999,0.1080833333333333,0.2509166666666667,0.34775,0.2494999999999999,20150210,구내식당/푸드코트,제주 제주시 도남동 662번지 4층,아워홈 제주지방합동청사점,5~18,"토,일"
(주) 아워홈 제주한라병원점_20180621,4.75,3.25,1.6666666666666667,0.2274841623493434,0.1933877327983812,0.196157141842644,0.1781801213502171,0.1491113715471157,0.02906270188285,0.026616768229448,0.3909704745401829,0.5495076992525838,0.0449433972442533,0.0145784289629798,0.0,0.7233964392281602,0.4488333333333333,0.5511666666666667,0.2207499999999999,0.3264999999999999,0.2586666666666666,0.1179166666666666,20180621,구내식당/푸드코트,제주 제주시 연동 1963-2번지 1층,아워홈 제주한라병원점,5~23,"토,일"
(주)그랜드부민_20111017,1.1666666666666667,6.0,6.0,0.1482569270398217,0.1387200640490114,0.126120857699805,0.2273043720412141,0.088781850459482,0.1476207880813143,0.1231951406293511,0.1764028125870231,0.1286967418546365,0.0887409495962127,0.5767735310498469,0.0293859649122806,0.7881474884284647,0.6150833333333333,0.3849166666666666,0.0049166666666666,0.1192499999999999,0.2323333333333333,0.441,20111017,가정식,제주 제주시 도남동 1237번지,그랜드부민,0~24,없음
