,author,content,visit_date,visit_count,review_count,photo_count
0,져니326,가격 저렴하고 매장깔끔 맛도 좋아요. 잘먹었습니다,24.9.11.수,1번째 방문,652,285.0
1,져니326,포장했어요. 빠르고 포장깔끔해요,24.9.12.목,2번째 방문,652,285.0
2,네안녕하세요그게바로저예요,왕맛있고 가성비 최고입니다 냠냠,23.12.31.일,1번째 방문,38,55.0
3,쫑쫑777,굿,24.2.23.금,1번째 방문,1224,31.0
4,카푸치노가득,좋아요,24.3.11.월,1번째 방문,860,5.0
5,명일의가배,"양 엄청 많네요. 메인 메뉴도 맛있고, 샐러드가 특히 맛있어서 리필 해먹었어요.",23.7.25.화,1번째 방문,238,1004.0
6,하나신부88,,23.9.25.월,1번째 방문,1464,303.0
7,콩닥콩닥2484,불백은만족하고매번먹는음식~여기서냉면은처음먹어봤어요~날이더워그런가너무맛있게잘먹었네요~~다음엔친구랑가서불백에냉면엊어먹을거에요~~^^,23.5.31.수,2번째 방문,3,2.0
8,노드리54,가성비좋아요,23.6.8.목,1번째 방문,283,46.0
9,yty****,👍,23.8.20.일,1번째 방문,320,1.0
10,하얀사과78,맛있어요,23.8.26.토,7번째 방문,650,268.0
11,Oo마녀oO,돼지불백 맛남. 밥 무한.. ㅋㅋ 배터지겠네요,23.2.14.화,1번째 방문,1220,170.0
12,이구아나2026,애들 입맛이에요~,23.3.26.일,1번째 방문,755,96.0
13,안하74,,23.4.18.화,1번째 방문,411,186.0
14,사자2595,가성비 좋은 집. 서비스로 볶아주시는 볶음밥 맛있어요,23.2.12.일,2번째 방문,1159,153.0
15,151243,요즘 이 가격에 이 만큼씩 맛있는집 없는데 무엇하나 뺄수없이 다 맛있게먹었어요👍👍👍👍사장님부부도 친절하시고 만족스럽게 먹고나왔습니다 또먹으러 올께요🙋🏻‍♀️🙋🏻‍♀️,22.10.3.월,1번째 방문,356,42.0
16,언젠가는12,맛짱,23.4.19.수,1번째 방문,685,
17,먹돈쓰,학교앞 밥집답게 밥을 엄청 많이 줌. 볶음밥까지 포함임,22.11.19.토,1번째 방문,314,228.0
18,하얀사과78,맛있어요,23.5.22.월,6번째 방문,650,268.0
19,1등분석가,양도 가격도 딱 좋아요! 사장님도 친절하세요❣️광운대 갈 일 있으면 또 들리겠습니다~,22.9.8.목,1번째 방문,1086,306.0
20,하얀사과78,맛있어요,23.3.29.수,5번째 방문,650,268.0
21,kol****,기성비좋고 맛있어요,22.11.30.수,1번째 방문,161,20.0
22,사자2595,학교 앞 식당이라 그런지 밥 엄청 넉넉하게 주시고 가격도 좋네요.,22.8.14.일,1번째 방문,1159,153.0
23,봉자똑똑이엄마,"와 진짜 찐맛집 발견했습니다
분식집 갈까 하다가 우연히 발견했는데 ㅜ ㅜ
핵 감동 ~~~광운대 근처 계신분들 꼭 가보시길
고추장 맵찔이면서 간장맛 싫은 사람들 강추요
그냥 집에서 먹는 불고기? 그런맛이 아니예요 달라요 고기도 엄청 부드럽고 여자 사장님 넘 친절하세요
잘먹고가네요 감사합니다",22.2.22.화,1번째 방문,36,76.0
24,비예스60,너무 맛있고 가격도 좋고 친절하시고 좋아요ㅎㅎ 최고입니다👍 백종원 선생님도 놀랄 맛이에요,22.6.5.일,1번째 방문,15,13.0
25,하얀사과78,저렴하고 맛있어요,22.11.17.목,4번째 방문,650,268.0
26,jjjjunnn,불백 맛있어요 가성비짱,22.8.12.금,1번째 방문,622,107.0
27,소소한행복28,가성비좋고친절한식당이예요~~,22.6.12.일,1번째 방문,1113,299.0
28,kej****,불맛이 좋아요.,23.3.18.토,1번째 방문,415,11.0
29,느낀대로 리뷰,"불백도 맛있고 사이드도 맛있고, 사장님도 너무 친절하세요! 최고입니다 ♡",22.4.25.월,1번째 방문,1604,335.0
30,콩콩맘56,굿,22.9.26.월,1번째 방문,860,5.0
31,아이렌3859,가성비 최고,22.9.17.토,1번째 방문,729,13.0
32,ssk3651,좋아요,22.9.14.수,1번째 방문,2748,
33,주리85,"밥을 냉면그릇에 주시고 남으면 볶음밥도 서비스에 반찬들 굿
정성이 느껴짐
고기는 쏘쏘",22.3.12.토,1번째 방문,1552,693.0
34,나이다솔,ㅏ굿,22.8.15.월,1번째 방문,137,3.0
35,sjk****,맛있어요!,22.7.24.일,1번째 방문,152,1.0
36,위유우,🤭,22.6.16.목,2번째 방문,113,2.0
37,SJY0718,"자주 가는 식당이에요.
갈때마다 너무 맛있습니다
친절하시고, 맛있고, 청결하구
모든게 다 완벽해요👍🏻",22.4.14.목,1번째 방문,79,75.0
38,SJY0718,"진.짜.맛.있.음.
진심",22.4.15.금,2번째 방문,79,75.0
39,보조개왕67,가성비도 좋고 사장님 친절하심!,22.2.18.금,1번째 방문,31,5.0
40,김여러곳,꿀맛 맛집,22.6.6.월,1번째 방문,1223,117.0
41,바람세기,좋습니다,22.6.1.수,3번째 방문,558,29.0
42,나영맘08,ㆍ,22.6.4.토,1번째 방문,1059,9.0
43,눈아이32,좋아요,22.6.4.토,1번째 방문,497,
44,바람세기,좋아요,22.3.29.화,2번째 방문,558,29.0
45,kra****,굿,22.3.28.월,1번째 방문,645,
46,위유우,굿ㅎㅎ,21.12.15.수,1번째 방문,113,2.0
47,라일락향기6248,13000원에 볶음밥 까지 가성비~ good,21.5.14.금,1번째 방문,2,2.0
48,콩닥콩닥2484,잘먹었어요,21.5.14.금,1번째 방문,3,2.0
