MCT_YM,UE_CNT_GRP,UE_AMT_GRP,UE_AMT_PER_TRSN_GRP,MON_UE_CNT_RAT,TUE_UE_CNT_RAT,WED_UE_CNT_RAT,THU_UE_CNT_RAT,FRI_UE_CNT_RAT,SAT_UE_CNT_RAT,SUN_UE_CNT_RAT,HR_5_11_UE_CNT_RAT,HR_12_13_UE_CNT_RAT,HR_14_17_UE_CNT_RAT,HR_18_22_UE_CNT_RAT,HR_23_4_UE_CNT_RAT,LOCAL_UE_CNT_RAT,RC_M12_MAL_CUS_CNT_RAT,RC_M12_FME_CUS_CNT_RAT,RC_M12_AGE_UND_20_CUS_CNT_RAT,RC_M12_AGE_30_CUS_CNT_RAT,RC_M12_AGE_40_CUS_CNT_RAT,RC_M12_AGE_50_CUS_CNT_RAT,OP_YMD,MCT_TYPE,ADDR,MCT_NM,예상영업시간,휴업일
(유)아웃백스테이크하우스 제주아일랜드점_20090217,5.833333333333333,6.0,5.0,0.1196889972833801,0.11600940228363249,0.1140947888656124,0.09929409320646831,0.13947276698913666,0.20918652411002855,0.2022534272617412,0.009836968555900858,0.24314560762418846,0.2781359734107712,0.4683106741534317,0.0005707762557077583,0.789624716045946,0.48124999999999996,0.51875,0.14858333333333335,0.33975,0.35674999999999996,0.11525,20090217,패밀리 레스토랑,제주 제주시 오라이동 3173번지 1층,(유)아웃백스테이크하우스 제주아일랜드점,12~23,없음
(주) 베이힐_20140110,1.5,5.833333333333333,6.0,0.1825249812457339,0.10228768275279276,0.148415608568741,0.08103875813042753,0.12994523083132073,0.13374912399217484,0.22203861447880904,0.7340101257036414,0.010862015743170231,0.18926300456383358,0.05922663682482166,0.006638217164532949,0.029095251667761793,0.5508333333333333,0.44925,0.10708333333333332,0.34375,0.32083333333333336,0.158,20140110,단품요리 전문,제주 서귀포시 하예동 1888번지,(주) 베이힐,5~23,없음
(주) 신세계푸드 제주신화월드  고래라면_20171227,5.083333333333333,4.166666666666667,2.0,0.13778157301629348,0.13168526344042605,0.12135846103185405,0.13051969081240525,0.15115358760982542,0.1622069188416733,0.1652945052475223,0.009001284144953867,0.2753261700561373,0.23935531430647852,0.4754625306377293,0.0008547008547008499,0.06115266266009045,0.5593333333333333,0.4406666666666666,0.05374999999999999,0.33391666666666664,0.49441666666666667,0.08541666666666665,20171227,구내식당/푸드코트,제주 서귀포시 안덕면 서광리 2489번지 1층,(주) 신세계푸드 제주신화월드  고래라면,12~23,없음
(주) 신세계푸드 제주신화월드  윤경양식당_20171228,5.75,5.416666666666667,2.0,0.1335768255007841,0.12677014746503973,0.11399648175661532,0.13365775199637628,0.13901637951921078,0.16543778698463946,0.187544626777334,0.007064064667495709,0.24048786830037505,0.26113166745057065,0.4906108442476665,0.000705555333891925,0.12711835826301035,0.5365833333333333,0.46341666666666664,0.04658333333333333,0.3740833333333333,0.4810833333333333,0.06866666666666667,20171228,구내식당/푸드코트,제주 서귀포시 안덕면 서광리 2489번지 1층,(주) 신세계푸드 제주신화월드  윤경양식당,12~23,없음
(주) 신세계푸드 제주신화월드  티플레이스_20171227,5.416666666666667,6.0,4.0,0.12899683147539048,0.11879169567793885,0.1228676127403777,0.12958434520338047,0.1386682090036871,0.17609048515112105,0.185000820748104,0.005421578445169925,0.19924824951082612,0.1932848120226772,0.6013143658692798,0.0007309941520467833,0.13531122221898403,0.5244166666666666,0.4755833333333333,0.058833333333333314,0.302,0.47374999999999995,0.1193333333333333,20171227,구내식당/푸드코트,제주 서귀포시 안덕면 서광리 2489번지 1층,(주) 신세계푸드 제주신화월드  티플레이스,12~23,없음
(주) 신세계푸드 제주신화월드  화니제주신_20180108,5.75,5.583333333333333,2.0,0.13764755216814883,0.12500148281512843,0.12049453979916515,0.1314082221887564,0.13419861718012183,0.16878427582414446,0.1824653100245346,0.004720831152034091,0.25086699179051447,0.24423970439538098,0.5001724726620703,0.0,0.12466559528359744,0.5355833333333334,0.46441666666666664,0.04074999999999999,0.3273333333333333,0.4974166666666667,0.09158333333333334,20180108,구내식당/푸드코트,제주 서귀포시 안덕면 서광리 2489번지 1층,(주) 신세계푸드 제주신화월드  화니제주신,12~23,없음
(주) 아워홈 제주대학교병원제주점_20180306,5.083333333333333,2.3333333333333335,1.0,0.19458030091432546,0.188884278419166,0.18126480750501894,0.16873662402669853,0.15648425182649117,0.05172944126491375,0.058320296043385816,0.2572973649870468,0.48508999248084,0.04281520212731749,0.21479744040479562,0.0,0.7535037791540863,0.5384166666666667,0.4615833333333333,0.24483333333333332,0.21374999999999997,0.15425,0.2698333333333333,20180306,구내식당/푸드코트,제주 제주시 아라일동 1753-3번지 제주대학교병원 지하1층,(주) 아워홈 제주대학교병원제주점,5~23,없음
(주) 아워홈 제주지방합동청사점_20150210,5.916666666666667,1.9166666666666667,1.0,0.19618655681086358,0.20041246113562536,0.2078396131644631,0.2116301633215546,0.18393120556749318,0.0,0.0,0.41256172461138574,0.2816656880024349,0.3041800892869185,0.0015924980992607083,0.0,0.7626318141876706,0.59725,0.40274999999999994,0.10808333333333331,0.2509166666666667,0.34775,0.24949999999999997,20150210,구내식당/푸드코트,제주 제주시 도남동 662번지 4층,(주) 아워홈 제주지방합동청사점,5~18,"토,일"
(주) 아워홈 제주한라병원점_20180621,4.75,3.25,1.6666666666666667,0.2274841623493434,0.19338773279838128,0.19615714184264407,0.17818012135021713,0.14911137154711576,0.02906270188285005,0.026616768229448043,0.3909704745401829,0.5495076992525838,0.04494339724425339,0.01457842896297981,0.0,0.7233964392281602,0.44883333333333336,0.5511666666666667,0.22074999999999997,0.32649999999999996,0.25866666666666666,0.11791666666666663,20180621,구내식당/푸드코트,제주 제주시 연동 1963-2번지 1층,(주) 아워홈 제주한라병원점,5~23,"토,일"
(주)그랜드부민_20111017,1.1666666666666667,6.0,6.0,0.14825692703982177,0.1387200640490114,0.12612085769980505,0.22730437204121412,0.08878185045948202,0.14762078808131437,0.12319514062935112,0.1764028125870231,0.12869674185463656,0.08874094959621275,0.5767735310498469,0.029385964912280692,0.7881474884284647,0.6150833333333333,0.38491666666666663,0.004916666666666666,0.11924999999999998,0.2323333333333333,0.441,20111017,가정식,제주 제주시 도남동 1237번지,(주)그랜드부민,0~24,없음
