MCT_YM,MCT_NM,ADDR
(유)아웃백스테이크하우스 제주아일랜드점_20090217,(유)아웃백스테이크하우스 제주아일랜드점,제주 제주시 오라이동 3173번지 1층
(주) 베이힐_20140110,(주) 베이힐,제주 서귀포시 하예동 1888번지
(주) 신세계푸드 제주신화월드  고래라면_20171227,(주) 신세계푸드 제주신화월드  고래라면,제주 서귀포시 안덕면 서광리 2489번지 1층
(주) 신세계푸드 제주신화월드  윤경양식당_20171228,(주) 신세계푸드 제주신화월드  윤경양식당,제주 서귀포시 안덕면 서광리 2489번지 1층
(주) 신세계푸드 제주신화월드  티플레이스_20171227,(주) 신세계푸드 제주신화월드  티플레이스,제주 서귀포시 안덕면 서광리 2489번지 1층
(주) 신세계푸드 제주신화월드  화니제주신_20180108,(주) 신세계푸드 제주신화월드  화니제주신,제주 서귀포시 안덕면 서광리 2489번지 1층
(주) 아워홈 제주대학교병원제주점_20180306,(주) 아워홈 제주대학교병원제주점,제주 제주시 아라일동 1753-3번지 제주대학교병원 지하1층
(주) 아워홈 제주지방합동청사점_20150210,(주) 아워홈 제주지방합동청사점,제주 제주시 도남동 662번지 4층
(주) 아워홈 제주한라병원점_20180621,(주) 아워홈 제주한라병원점,제주 제주시 연동 1963-2번지 1층
(주)그랜드부민_20111017,(주)그랜드부민,제주 제주시 도남동 1237번지
(주)바다바라_20220221,(주)바다바라,제주 서귀포시 색달동 2822-12번지
(주)블루밍그릴_20220915,(주)블루밍그릴,제주 서귀포시 색달동 2511-1번지
(주)비케이알 버거킹 제주노형점_20220608,(주)비케이알 버거킹 제주노형점,제주 제주시 노형동 904-4번지
(주)산굼부리_20080428,(주)산굼부리,제주 제주시 조천읍 교래리 산 38번지
(주)삼다도횟집_20120709,(주)삼다도횟집,제주 제주시 용담삼동 1100번지
(주)신세계푸드 제주신화월드_20171227,(주)신세계푸드 제주신화월드,제주 서귀포시 안덕면 서광리 2489번지 1층
(주)아워홈 제주국제공항2지점_20200709,(주)아워홈 제주국제공항2지점,제주 제주시 용담이동 2002번지
(주)아워홈 제주국제공항점_20200708,(주)아워홈 제주국제공항점,제주 제주시 용담이동 2002번지
(주)아워홈 제주국제공항점_20200710,(주)아워홈 제주국제공항점,제주 제주시 용담이동 2002번지
