MCT_YM,MCT_NM,name,ADDR,주소1,주소,result
(주) 신세계푸드 제주신화월드  고래라면_20171227,신세계푸드 제주신화월드  고래라면,고래라면 제주신화월드점,제주 서귀포시 안덕면 서광리 2489번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%95%88%EB%8D%95%EB%A9%B4%20%EC%84%9C%EA%B4%91%EB%A6%AC%202489%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1827122991?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주) 신세계푸드 제주신화월드  윤경양식당_20171228,신세계푸드 제주신화월드  윤경양식당,고래라면 제주신화월드점,제주 서귀포시 안덕면 서광리 2489번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%95%88%EB%8D%95%EB%A9%B4%20%EC%84%9C%EA%B4%91%EB%A6%AC%202489%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1827122991?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주) 신세계푸드 제주신화월드  티플레이스_20171227,신세계푸드 제주신화월드  티플레이스,고래라면 제주신화월드점,제주 서귀포시 안덕면 서광리 2489번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%95%88%EB%8D%95%EB%A9%B4%20%EC%84%9C%EA%B4%91%EB%A6%AC%202489%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1827122991?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주) 신세계푸드 제주신화월드  화니제주신_20180108,신세계푸드 제주신화월드  화니제주신,고래라면 제주신화월드점,제주 서귀포시 안덕면 서광리 2489번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%95%88%EB%8D%95%EB%A9%B4%20%EC%84%9C%EA%B4%91%EB%A6%AC%202489%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1827122991?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주) 아워홈 제주대학교병원제주점_20180306,아워홈 제주대학교병원제주점,제주대학교병원,제주 제주시 아라일동 1753-3번지 제주대학교병원 지하1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%84%EB%9D%BC%EC%9D%BC%EB%8F%99%201753-3%EB%B2%88%EC%A7%80%20%EC%A0%9C%EC%A3%BC%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90%20%EC%A7%80%ED%95%981%EC%B8%B5/place/11624035?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주) 아워홈 제주한라병원점_20180621,아워홈 제주한라병원점,한라병원 건강검진센터,제주 제주시 연동 1963-2번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%97%B0%EB%8F%99%201963-2%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1659784404?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주)블루밍그릴_20220915,블루밍그릴,풍로 서귀포 중문점,제주 서귀포시 색달동 2511-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%83%89%EB%8B%AC%EB%8F%99%202511-1%EB%B2%88%EC%A7%80/place/1777859545?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주)비케이알 버거킹 제주노형점_20220608,비케이알 버거킹 제주노형점,버거킹 제주노형점,제주 제주시 노형동 904-4번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%20904-4%EB%B2%88%EC%A7%80/place/1291507107?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주)산굼부리_20080428,산굼부리,산굼부리샵카페,제주 제주시 조천읍 교래리 산 38번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%A1%B0%EC%B2%9C%EC%9D%8D%20%EA%B5%90%EB%9E%98%EB%A6%AC%20%EC%82%B0%2038%EB%B2%88%EC%A7%80/place/1789181978?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주)신세계푸드 제주신화월드_20171227,신세계푸드 제주신화월드,고래라면 제주신화월드점,제주 서귀포시 안덕면 서광리 2489번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%95%88%EB%8D%95%EB%A9%B4%20%EC%84%9C%EA%B4%91%EB%A6%AC%202489%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1827122991?c=15.00,0,0,0,dh&isCorrectAnswer=true",
